inv_index,x,y,predinstance,nn_dist_m,tile_name,note
233,416771.509748896,5346734.34549848,3771,0.004508518763342139,tile_131.laz,ok
234,416771.921609927,5346728.60206856,3774,0.002621221864999926,tile_131.laz,ok
235,416776.531076097,5346734.21998593,3935,0.0010761889321168503,tile_131.laz,ok
236,416777.450009685,5346738.51490833,3939,0.005091680111616809,tile_131.laz,ok
237,416781.3398,5346735.524,3941,0.004004996604047002,tile_131.laz,ok
238,416778.6235672,5346727.47557443,3776,0.005684240387443642,tile_131.laz,ok
239,416766.87293595,5346730.81045161,3582,0.0029704803584102496,tile_131.laz,ok
240,416770.432330584,5346743.84757054,3769,0.0033665855787207597,tile_131.laz,ok
241,416767.914555806,5346742.73040856,3765,0.00457408884870613,tile_131.laz,ok
242,416768.50292006,5346741.07675876,3769,0.0043626124638947135,tile_131.laz,ok
243,416767.001120478,5346740.47696359,3765,0.0032365506179830123,tile_131.laz,ok
244,416764.8653,5346745.145,-1,0.006862215297718534,tile_128.laz,ok
245,416761.1903,5346743.541,3768,0.0010440308119855058,tile_128.laz,ok
246,416755.854871718,5346744.31321627,3763,0.005837638628639228,tile_128.laz,ok
247,416759.2349,5346736.127,3574,0.0057454327392792584,tile_128.laz,ok
248,416763.9346,5346735.576,3767,0.006720118901485942,tile_128.laz,ok
249,416763.4667,5346733.617,3770,0.007340981033544181,tile_128.laz,ok
250,416761.2829,5346732.762,3573,0.0035227831465186902,tile_128.laz,ok
251,416759.6732,5346732.515,3573,0.005936328756908824,tile_128.laz,ok
252,416755.6701,5346731.856,3382,0.004001250460313515,tile_128.laz,ok
253,416758.3719,5346727.634,3385,0.004428317729834966,tile_128.laz,ok
254,416758.8623,5346725.003,3383,0.003780211281067133,tile_128.laz,ok
255,416758.407887661,5346722.32365326,3227,0.004219986300155214,tile_128.laz,ok
256,416756.4639,5346721.699,3224,0.004026164422452096,tile_128.laz,ok
257,416759.07145491,5346719.81906647,3227,0.0017286534271158834,tile_128.laz,ok
258,416759.5598,5346718.978,3227,0.002009975451368023,tile_128.laz,ok
259,416763.7967,5346720.859,3389,0.0034481879603363236,tile_128.laz,ok
260,416764.6361,5346720.022,3389,0.0043829211342237785,tile_128.laz,ok
261,416762.634844723,5346726.34926575,3391,0.0052073031202803195,tile_128.laz,ok
262,416763.4405,5346724.363,3391,0.0030413808354501394,tile_128.laz,ok
263,416765.601,5346723.934,3386,0.004123106259095047,tile_131.laz,ok
264,416767.692,5346721.677,3386,0.0036055508978258765,tile_131.laz,ok
265,416770.8917,5346724.317,3581,0.0034481883401510038,tile_131.laz,ok
266,416771.4224,5346720.304,3589,0.004664761278244077,tile_131.laz,ok
267,416768.1006,5346717.589,3395,0.0011661905042378564,tile_131.laz,ok
268,416769.3015,5346715.943,3394,0.003354101578904582,tile_131.laz,ok
269,416775.3864,5346721.037,3586,0.004686150117556908,tile_131.laz,ok
270,416777.059987353,5346719.86672593,3587,0.003274094525213956,tile_131.laz,ok
271,416774.802243203,5346718.41612997,3588,0.004473152284799586,tile_131.laz,ok
272,416778.4475,5346718.158,3591,0.007762087439347491,tile_131.laz,ok
273,416776.5929,5346715.525,3593,0.005780138291469051,tile_131.laz,ok
274,416776.2458,5346713.212,3593,0.004651881503239234,tile_131.laz,ok
